County	St	Urban	Rural	%Rural	Total VA Enrollees	Total Population	Percent VA Enrollees
Clinton	NY	0	3,152	100.00%	3,152	64254	0.049055312
Albany	NY	6,743	907	11.85%	7,527	98617	0.07631
Columbia	NY	0	1,780	100.00%	1,780	51046	0.034870509
Delaware	NY	0	1,500	100.00%	1,500	32156	0.046647593
Essex	NY	0	1,485	100.00%	1,485	30376	0.048887279
Franklin	NY	0	1,672	100.00%	1,672	35879	0.046601076
Fulton	NY	0	1,486	100.00%	1,486	40190	0.036974372
Greene	NY	0	1,636	100.00%	1,636	39757	0.041149986
Hamilton	NY	0	196	100.00%	196	3944	0.04969574
Montgomery	NY	0	1,358	100.00%	1,358	48472	0.028016174
Otsego	NY	0	1,666	100.00%	1,666	45586	0.036546308
Rensselaer	NY	3,099	1,381	30.80%	4,480	136744	0.032761949
Saratoga	NY	5,308	1,203	18.50%	6,511	209886	0.031021602
Schenectady	NY	3,503	338	8.80%	3,841	156302	0.024574222
Schoharie	NY	0	1,051	100.00%	1,051	25280	0.041574367
Ulster	NY	2,688	1,768	39.70%	4,456	161756	0.027547664
Warren	NY	1,402	703	33.40%	2,105	58062	0.036254349
Washington	NY	676	1,366	66.90%	2,042	53758	0.037985044
